brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
"[(29,30,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,35,36,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,35,36,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,35,36,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,35,36,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,35,36,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,35,36,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,35,36,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,35,36,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,-100]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,35,36,68,69,70,-1]}
generations#;199;199;16;67;182;24;91;199;199;199;199;199;199;199;64;199;199;199;199;165;199;199;99;199;109
difftime;376;413;39;138;364;50;192;410;397;412;411;413;380;400;131;411;381;403;382;290;332;328;178;372;193
"[(29,37,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]}
generations#;1;1;1;5;1;1;2;3;1;3;2;3;2;1;2;1;2;2;1;1;2;1;1;1;1
difftime;4;4;4;11;4;3;6;8;3;8;6;8;6;4;6;4;5;6;3;3;7;3;3;4;4
"[(38,39,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,39,40,41,42,43,44,45,68,69,70,-1]}
generations#;199;199;199;146;199;199;50;169;199;27;47;41;192;80;42;84;199;168;199;105;199;45;111;199;194
difftime;384;397;395;299;404;386;104;344;410;54;96;89;379;161;88;172;400;342;369;177;348;71;206;358;361
"[(38,46,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]}
generations#;1;1;1;3;1;1;2;2;1;1;1;2;1;1;1;2;2;2;1;3;1;1;1;1;1
difftime;4;3;4;8;4;4;6;6;4;4;4;5;3;4;4;5;6;6;4;7;4;3;4;4;3
"[(47,48,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,53,54,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,48,49,50,51,52,-100]}
generations#;199;105;84;199;192;199;84;199;38;179;131;63;199;107;162;199;199;5;199;199;39;176;166;31;199
difftime;403;201;148;407;395;378;169;367;76;369;265;129;398;225;339;408;399;12;368;364;76;331;318;46;342
"[(47,55,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]}
generations#;2;1;1;3;1;3;1;1;1;1;2;2;1;2;1;2;1;2;1;3;1;2;1;1;2
difftime;5;4;2;7;4;8;4;4;3;4;6;6;4;5;3;6;3;5;4;7;4;6;4;4;5
"[(56,57,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,-100]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,57,58,59,60,61,62,63,68,69,70,-1]}
generations#;199;12;134;199;119;60;25;73;14;46;199;15;199;48;199;85;42;199;199;188;12;24;175;199;3
difftime;318;26;259;409;246;127;52;152;30;94;409;32;407;98;411;173;84;397;331;315;26;43;332;312;6
"[(56,64,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]}
generations#;2;1;1;1;2;2;2;2;1;2;1;1;2;2;1;1;2;2;2;2;2;1;1;2;1
difftime;6;3;3;4;6;6;6;6;4;6;4;4;6;6;4;3;4;6;6;6;4;3;3;5;2
"[(69,70,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,30,31,32,33,34,35,36,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]}
generations#;2;2;2;1;2;1;1;3;1;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;2
difftime;5;6;6;4;6;3;3;7;4;4;6;4;4;3;4;4;4;4;3;4;8;4;3;4;5
