brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
"(56,57,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0)
generations#;17;138;164;199;9;199;115;199;48;186;199;117;97;199;14;129;188;42;134;199
difftime;39;296;351;425;22;419;244;296;71;275;399;231;173;378;30;238;372;75;269;383
"(56,64,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;2;1;1;1;3;2;2;1;1;2;1;2;1;1;1;1;1;1;1
difftime;6;6;5;4;3;8;6;4;3;2;5;4;5;3;4;3;4;3;4;3
"(69,70,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;1;1;1;5;3;2;6;2;2;4;2;3;2;2;2;1;3;2;1
difftime;4;5;4;4;13;8;6;11;4;5;10;5;7;6;6;6;3;7;5;4
"(69,71,""else"")";(0.0,0.0,0);(0.0,0.0,0);(1.45,0.0,0);(1.4761904761904763,0.0,0);(0.0,0.0,0);(1.4838709677419355,0.0,0);(0.0,0.0,0);(1.45,0.0,0);(0.0,0.0,0);(1.45,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;13;37;199;199;11;199;42;199;15;199;77;37;37;37;37;40;31;75;49;6
difftime;30;81;436;430;25;430;91;304;24;362;156;75;73;66;75;72;62;147;94;13
